,Date,Total,Total,Nigeria,Nigeria,Senegal,Senegal,USA,USA,Spain,Spain,Mali,Mali,U.K.,U.K.,Italy,Italy,Refs
,Date,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Refs
0,4 Nov 2015,36,15,20,8,1,0,4,1,1,0,8,6,1,0,1,0,[note 8][24]
1,13 May 2015,36,15,20,8,1,0,4,1,1,0,8,6,1,0,1,0,[note 9][79]
2,29 Dec 2014,35,15,20,8,1,0,4,1,1,0,8,6,1,0,–,–,[note 10][45]
3,14 Dec 2014,32,15,20,8,1,0,4,1,1,0,6,6,–,–,–,–,[46]
4,2 Nov 2014,27,10,20,8,1,0,4,1,1,0,1,1,–,–,–,–,[54]
5,19 Oct 2014,25,9,20,8,1,0,3,1,1,0,-,–,–,–,–,–,[56]
6,12 Oct 2014,23,8,20,8,1,0,1,0,1,0,-,–,–,–,–,–,[57]
7,28 Sep 2014,22,8,20,8,1,0,1,0,-,–,-,–,–,–,–,–,[58]
8,31 Aug 2014,22,7,21,7,1,0,–,–,-,–,-,–,–,–,–,–,[63]
9,16 Aug 2014,15,4,15,4,–,–,-,–,-,–,-,–,–,–,–,–,[65]
10,9 Aug 2014,13,2,13,2,–,–,-,–,-,–,–,–,–,–,–,–,[66]
11,30 Jul 2014,3,1,3,1,–,–,–,–,-,–,–,–,–,–,–,–,[67]
